Timestamp,age,Gender,Purchase_Frequency,Purchase_Categories,Browsing_Frequency,Product_Search_Method,Search_Result_Exploration,Customer_Reviews_Importance,Add_to_Cart_Browsing,Cart_Completion_Frequency,Cart_Abandonment_Factors,Saveforlater_Frequency,Review_Left,Review_Reliability,Review_Helpfulness,Personalized_Recommendation_Frequency,Recommendation_Helpfulness,Rating_Accuracy,Shopping_Satisfaction,Service_Appreciation,Improvement_Areas,transaction,Purchase_Frequency_Level,Cart_Completion_Frequency_Level,Customer_Segmentation,Cluster
2023/06/08 5:49:59 PM GMT+5:30,67,Others,Multiple times a week,Beauty and Personal Care;Clothing and Fashion;others,Few times a week,categories,Multiple pages,4,Yes,Rarely,Found a better price elsewhere,Rarely,No,Occasionally,No,5,Sometimes,4,4,Quick delivery,Nil,791209,5,2,Frequent Shopper,0
2023/06/05 10:05:25 PM GMT+5:30,13,Others,Multiple times a week,Clothing and Fashion;Home and Kitchen,Few times a month,Unknown,First page,2,Maybe,Always,Changed my mind or no longer need the item,Always,Yes,Never,Yes,2,No,4,5,User-friendly website/app interface,better app interface and lower shipping charges,642380,5,5,Frequent Shopper,0
2023/06/08 5:19:41 PM GMT+5:30,58,Male,Once a month,Groceries and Gourmet Food;Beauty and Personal Care,Multiple times a day,categories,First page,3,Yes,Never,others,Often,No,Heavily,Yes,4,Sometimes,3,1,Customer service,Add more familiar brands to the list,535035,2,1,At Risk,1
2023/06/08 5:57:03 PM GMT+5:30,7,Male,Few times a month,Beauty and Personal Care;Clothing and Fashion,Few times a week,others,First page,1,Yes,Sometimes,others,Never,No,Rarely,No,4,No,1,5,User-friendly website/app interface,User interface,362934,3,3,Occasional Shopper,0
2023/06/07 11:08:52 PM GMT+5:30,25,Prefer not to say,Less than once a month,Groceries and Gourmet Food;Clothing and Fashion;Home and Kitchen,Few times a month,Filter,First page,4,Yes,Rarely,Found a better price elsewhere,Often,No,Heavily,Yes,4,No,1,2,All the above,Add more familiar brands to the list,818647,1,2,Occasional Shopper,1
2023/06/05 7:16:40 AM GMT+5:30,33,Prefer not to say,Once a week,Groceries and Gourmet Food;Clothing and Fashion,Few times a month,others,Multiple pages,1,No,Always,Changed my mind or no longer need the item,Never,No,Rarely,No,5,Yes,4,1,.,Nil,447373,4,5,Occasional Shopper,3
2023/06/06 2:07:12 PM GMT+5:30,47,Prefer not to say,Less than once a month,Beauty and Personal Care,Few times a month,Keyword,First page,1,No,Rarely,others,Always,No,Heavily,Yes,2,No,1,1,Customer service,Customer service responsiveness,680024,1,2,Occasional Shopper,1
2023/06/08 10:40:33 PM GMT+5:30,23,Female,Less than once a month,Clothing and Fashion,Multiple times a day,Filter,Multiple pages,5,Maybe,Often,High shipping costs,Always,Yes,Moderately,Yes,4,Sometimes,1,5,Quick delivery,Irrelevant product suggestions,276117,1,4,Occasional Shopper,2
2023/06/06 9:59:35 AM GMT+5:30,55,Prefer not to say,Once a week,Clothing and Fashion;Home and Kitchen,Few times a month,others,First page,5,No,Never,Found a better price elsewhere,Sometimes,No,Heavily,Yes,1,Sometimes,1,3,Customer service,Quality of product is very poor according to the big offers,513452,4,1,Occasional Shopper,0
2023/06/09 9:33:35 AM GMT+5:30,55,Female,Multiple times a week,Groceries and Gourmet Food;Beauty and Personal Care;others,Few times a week,Keyword,Multiple pages,3,No,Rarely,Found a better price elsewhere,Never,No,Occasionally,Sometimes,4,Sometimes,3,1,Customer service,Customer service responsiveness,150583,5,2,Occasional Shopper,3
2023/06/11 11:06:52 PM GMT+5:30,20,Others,Once a week,Groceries and Gourmet Food;Beauty and Personal Care;Clothing and Fashion;Home and Kitchen,Multiple times a day,Keyword,Multiple pages,4,Yes,Never,others,Rarely,Yes,Heavily,Yes,3,No,5,1,Wide product selection,Nothing,512979,4,1,At Risk,3
2023/06/07 6:30:43 PM GMT+5:30,41,Others,Once a week,Beauty and Personal Care;Clothing and Fashion,Few times a month,others,First page,1,Maybe,Sometimes,Found a better price elsewhere,Often,Yes,Rarely,No,2,Yes,2,4,Customer service,UI,218072,4,3,Frequent Shopper,0
2023/06/08 3:25:14 AM GMT+5:30,43,Prefer not to say,Once a month,Groceries and Gourmet Food;Beauty and Personal Care;others,Rarely,categories,First page,4,Maybe,Never,others,Sometimes,No,Occasionally,Sometimes,3,Yes,1,3,.,Quality of product is very poor according to the big offers,219672,2,1,Occasional Shopper,2
2023/06/05 4:26:25 AM GMT+5:30,14,Female,Multiple times a week,Groceries and Gourmet Food;Clothing and Fashion;Home and Kitchen,Few times a month,Unknown,Multiple pages,4,Maybe,Rarely,High shipping costs,Never,Yes,Heavily,No,1,Sometimes,3,5,Customer service,Product quality and accuracy,727744,5,2,Frequent Shopper,0
2023/06/05 4:46:52 PM GMT+5:30,41,Male,Once a month,Clothing and Fashion;others,Rarely,categories,First page,1,Maybe,Never,Found a better price elsewhere,Often,No,Rarely,Yes,1,No,2,3,Customer service,User interface of app,485040,2,1,Occasional Shopper,2
2023/06/06 6:44:04 PM GMT+5:30,13,Prefer not to say,Once a month,Groceries and Gourmet Food;Clothing and Fashion;Home and Kitchen;others,Few times a month,categories,First page,5,Maybe,Often,others,Rarely,No,Heavily,No,5,No,2,4,User-friendly website/app interface,Scrolling option would be much better than going to next page,720879,2,4,Occasional Shopper,2
2023/06/09 10:30:39 AM GMT+5:30,14,Prefer not to say,Multiple times a week,Clothing and Fashion;others,Few times a month,Keyword,First page,4,Maybe,Sometimes,Changed my mind or no longer need the item,Often,No,Occasionally,Sometimes,1,No,5,3,Product recommendations,Add more familiar brands to the list,101357,5,3,Occasional Shopper,3
2023/06/09 3:09:41 PM GMT+5:30,18,Female,Less than once a month,Groceries and Gourmet Food;Clothing and Fashion;others,Multiple times a day,categories,Multiple pages,3,Yes,Sometimes,Found a better price elsewhere,Sometimes,No,Occasionally,No,1,Yes,1,3,Product recommendations,No problems with Amazon,702224,1,3,Occasional Shopper,2
2023/06/09 10:22:03 AM GMT+5:30,42,Prefer not to say,Once a week,Beauty and Personal Care;Home and Kitchen,Few times a month,Keyword,Multiple pages,2,No,Often,Found a better price elsewhere,Sometimes,Yes,Moderately,Sometimes,1,No,1,3,Competitive prices,Product quality and accuracy,998820,4,4,Occasional Shopper,0
2023/06/07 2:40:30 PM GMT+5:30,11,Male,Once a week,Groceries and Gourmet Food,Few times a month,Filter,Multiple pages,1,No,Rarely,Found a better price elsewhere,Sometimes,Yes,Moderately,Yes,3,No,3,4,Customer service,Nil,673241,4,2,Frequent Shopper,0
2023/06/11 11:19:12 PM GMT+5:30,41,Others,Once a week,Clothing and Fashion;Home and Kitchen;others,Rarely,Keyword,Multiple pages,4,Yes,Often,Changed my mind or no longer need the item,Always,Yes,Rarely,No,5,Yes,5,3,Quick delivery,better app interface and lower shipping charges,307554,4,4,Occasional Shopper,0
2023/06/05 10:08:15 PM GMT+5:30,38,Others,Less than once a month,Clothing and Fashion;others,Few times a month,Filter,Multiple pages,4,Yes,Sometimes,Changed my mind or no longer need the item,Never,Yes,Never,Yes,5,Yes,2,4,All the above,Quality of product is very poor according to the big offers,895906,1,3,Occasional Shopper,2
2023/06/11 11:17:41 PM GMT+5:30,11,Others,Once a week,Home and Kitchen,Multiple times a day,Keyword,First page,2,Maybe,Rarely,Changed my mind or no longer need the item,Sometimes,No,Moderately,Sometimes,3,Sometimes,2,4,.,Nothing,586458,4,2,Frequent Shopper,0
2023/06/12 3:55:53 PM GMT+5:30,27,Prefer not to say,Less than once a month,Home and Kitchen,Few times a week,categories,First page,1,Yes,Often,others,Rarely,Yes,Moderately,Yes,4,Sometimes,3,5,Product recommendations,Reducing packaging waste,596757,1,4,Occasional Shopper,2
2023/06/04 10:13:28 PM GMT+5:30,65,Female,Multiple times a week,Groceries and Gourmet Food;Clothing and Fashion;others,Few times a week,Unknown,First page,3,Yes,Always,Changed my mind or no longer need the item,Never,No,Moderately,Yes,1,No,4,5,Wide product selection,User interface,917970,5,5,Frequent Shopper,0
2023/06/06 1:06:16 PM GMT+5:30,4,Female,Multiple times a week,Groceries and Gourmet Food;Clothing and Fashion;Home and Kitchen;others,Few times a month,Keyword,Multiple pages,2,Maybe,Never,Changed my mind or no longer need the item,Often,Yes,Never,Sometimes,3,Sometimes,4,5,Customer service,Quality of product is very poor according to the big offers,653756,5,1,Frequent Shopper,0
2023/06/05 10:07:33 PM GMT+5:30,54,Prefer not to say,Once a week,others,Few times a week,Filter,Multiple pages,2,No,Always,Found a better price elsewhere,Sometimes,Yes,Heavily,No,1,Sometimes,1,5,.,.,137500,4,5,Frequent Shopper,0
2023/06/05 10:08:15 PM GMT+5:30,4,Others,Less than once a month,Groceries and Gourmet Food;Beauty and Personal Care;Home and Kitchen,Rarely,others,First page,5,Yes,Never,High shipping costs,Always,Yes,Never,Yes,2,Yes,1,1,Wide product selection,Scrolling option would be much better than going to next page,146081,1,1,At Risk,1
2023/06/11 11:15:37 PM GMT+5:30,48,Prefer not to say,Few times a month,Home and Kitchen,Multiple times a day,Filter,First page,3,Yes,Rarely,others,Often,Yes,Moderately,No,5,Yes,5,2,.,Quality of product is very poor according to the big offers,426584,3,2,Occasional Shopper,1
2023/06/09 9:37:15 AM GMT+5:30,54,Female,Few times a month,Home and Kitchen,Few times a month,Unknown,Multiple pages,1,Maybe,Never,Found a better price elsewhere,Often,No,Moderately,No,5,No,3,2,Competitive prices,Product quality and accuracy,457090,3,1,Occasional Shopper,1
2023/06/11 11:25:09 PM GMT+5:30,67,Female,Few times a month,Groceries and Gourmet Food;Beauty and Personal Care;Home and Kitchen,Multiple times a day,categories,First page,4,No,Often,Changed my mind or no longer need the item,Rarely,No,Rarely,Sometimes,3,No,3,5,Wide product selection,No problems with Amazon,558339,3,4,Occasional Shopper,0
2023/06/06 6:51:13 PM GMT+5:30,24,Others,Few times a month,Clothing and Fashion;Home and Kitchen,Rarely,Keyword,Multiple pages,1,Maybe,Sometimes,Found a better price elsewhere,Often,Yes,Moderately,Sometimes,1,Yes,3,2,Customer service,Nil,963304,3,3,Occasional Shopper,1
2023/06/06 6:57:14 PM GMT+5:30,49,Male,Multiple times a week,Groceries and Gourmet Food;Home and Kitchen,Multiple times a day,Unknown,First page,4,Maybe,Always,Changed my mind or no longer need the item,Sometimes,Yes,Occasionally,Yes,5,Sometimes,5,3,Customer service,Irrelevant product suggestions,103257,5,5,Occasional Shopper,3
2023/06/09 10:23:05 AM GMT+5:30,6,Others,Multiple times a week,Groceries and Gourmet Food;Beauty and Personal Care;Clothing and Fashion;Home and Kitchen;others,Few times a month,Filter,First page,1,Yes,Rarely,Changed my mind or no longer need the item,Rarely,No,Rarely,No,3,No,2,5,Quick delivery,UI,546186,5,2,Frequent Shopper,0
2023/06/05 8:43:26 AM GMT+5:30,53,Male,Few times a month,Groceries and Gourmet Food;Beauty and Personal Care;Clothing and Fashion;Home and Kitchen;others,Few times a week,Unknown,Multiple pages,3,Yes,Often,others,Sometimes,No,Rarely,Yes,3,No,3,5,Customer service,Product quality and accuracy,857823,3,4,Occasional Shopper,0
2023/06/08 5:29:01 PM GMT+5:30,33,Female,Multiple times a week,Beauty and Personal Care;others,Few times a month,categories,First page,2,No,Sometimes,High shipping costs,Often,Yes,Rarely,No,1,No,5,1,Wide product selection,No problems with Amazon,791429,5,3,Occasional Shopper,3
2023/06/11 10:49:05 PM GMT+5:30,25,Others,Once a month,Beauty and Personal Care;others,Few times a week,others,First page,2,Yes,Often,Found a better price elsewhere,Always,Yes,Rarely,Sometimes,4,No,4,2,Product recommendations,I have no problem with Amazon yet. But others tell me about the refund issues,513745,2,4,Occasional Shopper,1
2023/06/11 10:42:48 PM GMT+5:30,7,Male,Less than once a month,Beauty and Personal Care;Clothing and Fashion;Home and Kitchen,Few times a month,Keyword,Multiple pages,1,Yes,Never,Changed my mind or no longer need the item,Rarely,No,Never,No,2,No,4,4,Wide product selection,Shipping speed and reliability,503215,1,1,Occasional Shopper,2
2023/06/05 6:49:25 PM GMT+5:30,60,Prefer not to say,Once a month,Beauty and Personal Care;Clothing and Fashion,Few times a week,Keyword,First page,4,Maybe,Sometimes,others,Often,No,Occasionally,No,3,No,1,3,Customer service,UI,821531,2,3,Occasional Shopper,2
2023/06/08 5:25:27 PM GMT+5:30,9,Others,Once a month,Groceries and Gourmet Food;Clothing and Fashion;Home and Kitchen;others,Rarely,others,First page,2,Maybe,Sometimes,Found a better price elsewhere,Always,Yes,Occasionally,Sometimes,3,Sometimes,1,1,Quick delivery,better app interface and lower shipping charges,290183,2,3,Occasional Shopper,1
2023/06/09 7:24:06 PM GMT+5:30,18,Others,Few times a month,Beauty and Personal Care;Home and Kitchen;others,Rarely,Filter,Multiple pages,4,Yes,Never,Found a better price elsewhere,Sometimes,No,Heavily,Yes,3,Yes,4,3,Competitive prices,I don't have any problem with Amazon,747793,3,1,Occasional Shopper,0
2023/06/08 5:55:15 PM GMT+5:30,55,Others,Less than once a month,others,Few times a week,others,Multiple pages,3,Yes,Sometimes,others,Often,Yes,Never,Sometimes,3,No,5,1,All the above,User interface,443622,1,3,Occasional Shopper,1
2023/06/09 7:28:09 PM GMT+5:30,53,Female,Few times a month,Clothing and Fashion;others,Few times a month,others,Multiple pages,1,No,Rarely,others,Always,Yes,Moderately,No,2,Yes,1,4,Customer service,I don't have any problem with Amazon,898719,3,2,Occasional Shopper,0
2023/06/05 9:56:58 AM GMT+5:30,56,Others,Once a month,Beauty and Personal Care;others,Multiple times a day,Unknown,First page,2,No,Sometimes,others,Rarely,No,Occasionally,No,3,No,1,5,Quick delivery,UI,494799,2,3,Occasional Shopper,2
2023/06/07 1:25:26 PM GMT+5:30,66,Female,Once a month,Groceries and Gourmet Food;Beauty and Personal Care;Clothing and Fashion,Multiple times a day,Keyword,Multiple pages,1,Yes,Always,Found a better price elsewhere,Never,Yes,Heavily,Sometimes,5,Yes,4,1,Customer service,Product quality and accuracy,367052,2,5,Occasional Shopper,1
2023/06/08 7:33:15 AM GMT+5:30,24,Male,Once a week,Clothing and Fashion;Home and Kitchen,Multiple times a day,Unknown,Multiple pages,5,Maybe,Always,High shipping costs,Sometimes,No,Moderately,Yes,3,No,2,5,Wide product selection,I have no problem with Amazon yet. But others tell me about the refund issues,922201,4,5,Frequent Shopper,0
2023/06/12 3:40:25 PM GMT+5:30,56,Female,Multiple times a week,Groceries and Gourmet Food;Beauty and Personal Care;Clothing and Fashion;others,Few times a week,others,First page,4,Yes,Never,Found a better price elsewhere,Rarely,No,Moderately,Yes,1,Yes,5,3,Wide product selection,UI,640343,5,1,Occasional Shopper,3
2023/06/11 11:16:58 PM GMT+5:30,46,Others,Few times a month,Groceries and Gourmet Food;Beauty and Personal Care,Few times a week,others,Multiple pages,1,Maybe,Never,others,Never,No,Never,Yes,1,No,5,2,Customer service,Product quality and accuracy,463351,3,1,Occasional Shopper,1
2023/06/07 6:29:53 PM GMT+5:30,36,Prefer not to say,Less than once a month,Clothing and Fashion;Home and Kitchen,Few times a month,Keyword,First page,1,Maybe,Rarely,High shipping costs,Never,Yes,Moderately,Yes,5,No,1,2,Wide product selection,Add more familiar brands to the list,304809,1,2,Occasional Shopper,1
2023/06/07 10:17:40 PM GMT+5:30,29,Prefer not to say,Few times a month,Groceries and Gourmet Food;Home and Kitchen,Few times a month,Filter,Multiple pages,2,No,Rarely,High shipping costs,Always,Yes,Never,Yes,1,No,5,2,Customer service,Nothing,799335,3,2,Occasional Shopper,1
2023/06/05 10:08:15 PM GMT+5:30,41,Male,Once a week,Groceries and Gourmet Food;Beauty and Personal Care,Multiple times a day,Filter,First page,2,Maybe,Rarely,High shipping costs,Always,No,Never,Yes,1,Sometimes,4,3,.,Scrolling option would be much better than going to next page,390724,4,2,Occasional Shopper,0
2023/06/04 1:28:19 PM GMT+5:30,41,Prefer not to say,Once a week,others,Rarely,categories,First page,3,Yes,Never,Changed my mind or no longer need the item,Sometimes,Yes,Rarely,Yes,2,No,4,3,Wide product selection,Scrolling option would be much better than going to next page,368298,4,1,Occasional Shopper,0
2023/06/07 1:05:41 PM GMT+5:30,4,Prefer not to say,Less than once a month,Groceries and Gourmet Food;Beauty and Personal Care;Clothing and Fashion;Home and Kitchen;others,Few times a week,others,First page,5,No,Sometimes,others,Rarely,Yes,Occasionally,No,5,Yes,1,4,.,UI,838614,1,3,Occasional Shopper,2
2023/06/05 12:02:56 AM GMT+5:30,25,Female,Once a week,Groceries and Gourmet Food;Beauty and Personal Care;Clothing and Fashion;Home and Kitchen;others,Few times a week,categories,Multiple pages,2,Yes,Sometimes,Changed my mind or no longer need the item,Rarely,No,Heavily,Sometimes,4,No,2,2,.,Nothing,526934,4,3,Occasional Shopper,3
2023/06/09 7:27:00 PM GMT+5:30,44,Male,Multiple times a week,Groceries and Gourmet Food;Beauty and Personal Care;others,Rarely,Filter,First page,4,Maybe,Always,Found a better price elsewhere,Often,No,Rarely,Sometimes,5,Yes,3,5,.,better app interface and lower shipping charges,904710,5,5,Frequent Shopper,0
2023/06/07 12:36:04 PM GMT+5:30,66,Female,Once a month,Groceries and Gourmet Food;Beauty and Personal Care,Rarely,Filter,First page,5,Yes,Sometimes,High shipping costs,Never,Yes,Moderately,Sometimes,4,Yes,5,5,Customer service,Customer service responsiveness,312387,2,3,Occasional Shopper,2
2023/06/07 11:48:25 AM GMT+5:30,9,Male,Once a week,Groceries and Gourmet Food;Beauty and Personal Care;Home and Kitchen,Multiple times a day,Filter,First page,5,No,Often,Found a better price elsewhere,Rarely,No,Rarely,No,2,No,2,1,Competitive prices,No problems with Amazon,393069,4,4,Occasional Shopper,3
2023/06/06 6:57:14 PM GMT+5:30,59,Others,Once a month,Groceries and Gourmet Food;Home and Kitchen;others,Few times a month,categories,Multiple pages,1,Maybe,Never,others,Always,Yes,Rarely,Sometimes,3,No,3,4,User-friendly website/app interface,Add more familiar brands to the list,642226,2,1,Occasional Shopper,2
2023/06/05 12:39:14 AM GMT+5:30,67,Others,Few times a month,Clothing and Fashion,Few times a week,categories,Multiple pages,2,No,Never,Found a better price elsewhere,Always,Yes,Heavily,No,2,No,2,3,Customer service,Product quality and accuracy,773381,3,1,Occasional Shopper,0
2023/06/06 6:42:00 PM GMT+5:30,16,Prefer not to say,Less than once a month,Groceries and Gourmet Food;Clothing and Fashion,Few times a month,Keyword,Multiple pages,3,No,Never,High shipping costs,Always,Yes,Rarely,Yes,1,Yes,1,3,Customer service,Nothing,506504,1,1,Occasional Shopper,2
2023/06/04 11:38:30 PM GMT+5:30,50,Prefer not to say,Once a month,Home and Kitchen;others,Rarely,categories,First page,5,Yes,Sometimes,Changed my mind or no longer need the item,Sometimes,No,Heavily,Sometimes,1,Sometimes,5,5,Wide product selection,I have no problem with Amazon yet. But others tell me about the refund issues,655251,2,3,Occasional Shopper,2
2023/06/04 7:23:21 PM GMT+5:30,3,Female,Few times a month,Groceries and Gourmet Food;Beauty and Personal Care;Clothing and Fashion,Few times a month,Filter,Multiple pages,5,Maybe,Never,High shipping costs,Always,Yes,Heavily,No,1,No,1,3,User-friendly website/app interface,Scrolling option would be much better than going to next page,635718,3,1,Occasional Shopper,0
2023/06/04 8:45:45 PM GMT+5:30,65,Male,Few times a month,Beauty and Personal Care;Home and Kitchen,Few times a month,Unknown,Multiple pages,1,Yes,Never,Found a better price elsewhere,Never,Yes,Occasionally,Yes,3,Sometimes,3,3,Wide product selection,Add more familiar brands to the list,222159,3,1,Occasional Shopper,0
2023/06/07 9:21:10 PM GMT+5:30,22,Others,Once a week,Home and Kitchen;others,Few times a week,Keyword,Multiple pages,3,No,Sometimes,others,Often,Yes,Heavily,Sometimes,3,No,1,3,User-friendly website/app interface,better app interface and lower shipping charges,603620,4,3,Occasional Shopper,0
2023/06/12 3:57:52 PM GMT+5:30,30,Others,Once a week,Groceries and Gourmet Food;Home and Kitchen;others,Few times a week,others,First page,1,No,Often,others,Sometimes,Yes,Never,Sometimes,2,No,1,3,All the above,Customer service responsiveness,544766,4,4,Occasional Shopper,0
2023/06/08 6:39:59 PM GMT+5:30,16,Female,Less than once a month,Clothing and Fashion;Home and Kitchen,Rarely,others,Multiple pages,5,Yes,Never,Changed my mind or no longer need the item,Never,Yes,Heavily,Sometimes,1,No,5,4,Wide product selection,Customer service responsiveness,325627,1,1,Occasional Shopper,2
2023/06/04 11:57:10 PM GMT+5:30,7,Male,Once a month,Beauty and Personal Care;Clothing and Fashion;others,Rarely,Filter,First page,2,No,Never,High shipping costs,Sometimes,No,Never,No,2,Sometimes,5,5,All the above,Nothing,387221,2,1,Occasional Shopper,2
2023/06/05 1:45:30 PM GMT+5:30,20,Prefer not to say,Few times a month,Groceries and Gourmet Food;Beauty and Personal Care;Clothing and Fashion;Home and Kitchen;others,Few times a month,others,First page,2,No,Never,others,Rarely,Yes,Rarely,Yes,1,Yes,2,4,Customer service,User interface,531616,3,1,Occasional Shopper,0
2023/06/09 9:35:57 AM GMT+5:30,20,Female,Multiple times a week,Clothing and Fashion,Rarely,categories,Multiple pages,3,Yes,Always,others,Sometimes,No,Never,Yes,4,No,1,3,Competitive prices,Customer service responsiveness,447479,5,5,Occasional Shopper,3
2023/06/16 9:16:05 AM GMT+5:30,22,Female,Few times a month,Beauty and Personal Care;Clothing and Fashion;Home and Kitchen,Few times a month,Unknown,Multiple pages,4,No,Always,High shipping costs,Always,No,Never,No,1,No,3,2,Customer service,I don't have any problem with Amazon,295328,3,5,Occasional Shopper,1
2023/06/07 12:23:07 PM GMT+5:30,25,Others,Multiple times a week,Home and Kitchen;others,Few times a month,others,First page,5,Maybe,Always,High shipping costs,Sometimes,No,Occasionally,Sometimes,3,Sometimes,3,5,Quick delivery,better app interface and lower shipping charges,626900,5,5,Frequent Shopper,0
2023/06/08 5:28:47 PM GMT+5:30,5,Prefer not to say,Once a week,Groceries and Gourmet Food;Beauty and Personal Care;others,Few times a month,others,First page,2,Maybe,Never,others,Rarely,Yes,Occasionally,No,4,Sometimes,5,1,Quick delivery,No problems with Amazon,222504,4,1,At Risk,3
2023/06/08 5:49:56 PM GMT+5:30,56,Female,Multiple times a week,Beauty and Personal Care;Clothing and Fashion;Home and Kitchen,Few times a week,Unknown,First page,3,Maybe,Sometimes,Changed my mind or no longer need the item,Never,Yes,Heavily,No,5,Sometimes,3,1,Customer service,UI,856966,5,3,Occasional Shopper,3
2023/06/07 2:16:43 PM GMT+5:30,18,Female,Few times a month,Beauty and Personal Care;Clothing and Fashion;Home and Kitchen,Few times a month,categories,Multiple pages,5,Maybe,Often,Found a better price elsewhere,Sometimes,No,Occasionally,Sometimes,4,Yes,5,5,All the above,Quality of product is very poor according to the big offers,843465,3,4,Occasional Shopper,0
2023/06/05 8:49:12 PM GMT+5:30,37,Prefer not to say,Once a month,Beauty and Personal Care;Home and Kitchen;others,Multiple times a day,others,First page,3,No,Never,Found a better price elsewhere,Never,Yes,Moderately,No,5,No,5,2,.,User interface,250771,2,1,Occasional Shopper,1
2023/06/08 5:30:34 PM GMT+5:30,16,Male,Multiple times a week,Home and Kitchen;others,Rarely,others,Multiple pages,3,No,Always,Changed my mind or no longer need the item,Often,No,Rarely,Yes,5,No,4,2,All the above,Product quality and accuracy,461429,5,5,Occasional Shopper,3
2023/06/08 4:29:56 PM GMT+5:30,44,Female,Once a month,Groceries and Gourmet Food;Beauty and Personal Care;Clothing and Fashion;others,Multiple times a day,Unknown,First page,2,Yes,Never,Changed my mind or no longer need the item,Sometimes,No,Never,Sometimes,4,Sometimes,4,5,Product recommendations,Scrolling option would be much better than going to next page,350060,2,1,Occasional Shopper,2
2023/06/04 6:01:59 PM GMT+5:30,39,Male,Multiple times a week,Groceries and Gourmet Food;Beauty and Personal Care,Few times a week,categories,Multiple pages,4,No,Sometimes,Found a better price elsewhere,Sometimes,Yes,Rarely,Yes,3,Yes,1,2,Quick delivery,better app interface and lower shipping charges,865415,5,3,Occasional Shopper,3
2023/06/05 8:49:12 PM GMT+5:30,48,Male,Once a month,Beauty and Personal Care;others,Multiple times a day,categories,Multiple pages,3,Maybe,Often,Found a better price elsewhere,Often,No,Heavily,Sometimes,5,Sometimes,2,3,.,better app interface and lower shipping charges,840560,2,4,Occasional Shopper,2
2023/06/09 10:23:05 AM GMT+5:30,15,Others,Once a week,Groceries and Gourmet Food;Clothing and Fashion,Multiple times a day,others,First page,3,No,Always,Changed my mind or no longer need the item,Sometimes,No,Moderately,No,3,Sometimes,1,5,Wide product selection,Add more familiar brands to the list,241303,4,5,Frequent Shopper,0
2023/06/07 6:16:51 PM GMT+5:30,65,Male,Less than once a month,Groceries and Gourmet Food,Multiple times a day,Unknown,First page,5,Yes,Always,High shipping costs,Always,No,Moderately,Sometimes,4,Yes,5,5,User-friendly website/app interface,better app interface and lower shipping charges,938045,1,5,Occasional Shopper,2
2023/06/08 3:28:23 AM GMT+5:30,49,Others,Once a week,Beauty and Personal Care;Clothing and Fashion;others,Few times a month,categories,Multiple pages,3,Yes,Never,High shipping costs,Sometimes,Yes,Never,Yes,1,Yes,4,1,Quick delivery,Reducing packaging waste,627531,4,1,At Risk,3
2023/06/06 6:48:26 PM GMT+5:30,34,Female,Once a month,Beauty and Personal Care;others,Multiple times a day,Unknown,First page,3,Maybe,Sometimes,High shipping costs,Rarely,Yes,Heavily,No,4,No,4,3,Quick delivery,Nothing,133197,2,3,Occasional Shopper,2
2023/06/06 10:19:05 AM GMT+5:30,58,Others,Multiple times a week,Groceries and Gourmet Food;Beauty and Personal Care;Home and Kitchen,Rarely,Unknown,Multiple pages,4,Yes,Often,High shipping costs,Rarely,No,Occasionally,Yes,1,No,4,5,.,Add more familiar brands to the list,742591,5,4,Frequent Shopper,0
2023/06/09 7:24:57 PM GMT+5:30,56,Prefer not to say,Once a week,Groceries and Gourmet Food;Clothing and Fashion;Home and Kitchen,Rarely,categories,Multiple pages,4,Yes,Rarely,Found a better price elsewhere,Sometimes,No,Occasionally,Sometimes,1,No,1,5,Wide product selection,Quality of product is very poor according to the big offers,906101,4,2,Frequent Shopper,0
2023/06/08 5:37:13 PM GMT+5:30,33,Female,Once a month,Beauty and Personal Care;Clothing and Fashion;Home and Kitchen;others,Few times a week,Keyword,Multiple pages,5,Yes,Often,Found a better price elsewhere,Never,Yes,Occasionally,Sometimes,4,Sometimes,4,4,Product recommendations,User interface,251094,2,4,Occasional Shopper,2
2023/06/05 2:28:10 PM GMT+5:30,46,Male,Multiple times a week,Beauty and Personal Care;Clothing and Fashion;Home and Kitchen;others,Few times a week,Filter,First page,3,No,Never,Found a better price elsewhere,Often,No,Heavily,Sometimes,3,Sometimes,5,4,Customer service,Customer service responsiveness,772871,5,1,Frequent Shopper,0
2023/06/06 7:42:51 PM GMT+5:30,9,Prefer not to say,Few times a month,Groceries and Gourmet Food;Beauty and Personal Care;Clothing and Fashion;others,Rarely,others,First page,4,No,Never,High shipping costs,Sometimes,Yes,Moderately,Yes,5,No,4,3,.,Nothing,474306,3,1,Occasional Shopper,0
2023/06/08 5:37:13 PM GMT+5:30,66,Prefer not to say,Multiple times a week,Clothing and Fashion,Few times a week,categories,First page,5,No,Rarely,High shipping costs,Always,Yes,Heavily,Sometimes,3,Sometimes,2,3,All the above,Product quality and accuracy,376248,5,2,Occasional Shopper,3
2023/06/11 9:53:31 AM GMT+5:30,45,Others,Few times a month,Home and Kitchen;others,Rarely,Filter,Multiple pages,2,No,Never,High shipping costs,Always,No,Moderately,No,2,Yes,3,3,Customer service,UI,948730,3,1,Occasional Shopper,0
2023/06/07 1:00:08 PM GMT+5:30,3,Male,Less than once a month,Clothing and Fashion;others,Multiple times a day,others,Multiple pages,4,Yes,Always,Changed my mind or no longer need the item,Never,No,Rarely,Yes,5,Sometimes,2,2,Customer service,Scrolling option would be much better than going to next page,201824,1,5,Occasional Shopper,1
